Provider,In_TotalClaims,In_AvgDiagnosisCount,In_AvgProcedureCount,In_PctFullDiagnosis,In_PctHighProcedure,In_AvgProcDiagRatio,Out_TotalClaims,Out_AvgDiagnosisCount,Out_AvgProcedureCount,Out_PctFullDiagnosis,Out_PctHasProcedure,Out_AvgProcDiagRatio,PotentialFraud,Bene_UniqueCount,Bene_AvgAge,Bene_AvgChronicCount,Bene_PctChronic,Bene_AvgReimbursed,Bene_AvgDeductible
PRV51001,5.0,7.2,0.6,0.0,0.0,0.0685714285714285,20.0,9.0,0.0,0.0,0.0,0.0,0,5.0,79.2,16.0,1.0,79252.0,2799.2
PRV51003,62.0,8.112903225806452,0.7741935483870968,0.064516129032258,0.0,0.0939411395056556,70.0,8.444444444444445,0.0,0.0142857142857142,0.0,0.0,1,53.0,69.28301886792453,17.32075471698113,1.0,13676.792452830188,2058.3396226415093
PRV51004,0.0,0.0,0.0,0.0,0.0,0.0,149.0,7.333333333333333,0.0,0.0067114093959731,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51005,0.0,0.0,0.0,0.0,0.0,0.0,1165.0,8.060975609756097,0.0,0.007725321888412,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
PRV51007,3.0,7.333333333333333,0.3333333333333333,0.0,0.0,0.0416666666666666,69.0,9.5,0.0,0.0289855072463768,0.0,0.0,0,3.0,79.33333333333333,16.333333333333332,1.0,14123.333333333334,2606.0
PRV51008,2.0,7.5,1.0,0.0,0.0,0.1214285714285714,41.0,9.5,0.0,0.024390243902439,0.0,0.0,0,2.0,52.0,18.5,1.0,19070.0,1767.0
PRV51011,1.0,8.0,0.0,0.0,0.0,0.0,57.0,9.0,0.0,0.0,0.0,0.0,0,1.0,98.0,15.0,1.0,5590.0,1158.0
PRV51012,0.0,0.0,0.0,0.0,0.0,0.0,48.0,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51013,0.0,0.0,0.0,0.0,0.0,0.0,46.0,9.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51014,0.0,0.0,0.0,0.0,0.0,0.0,30.0,8.333333333333334,0.0,0.0333333333333333,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51015,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51016,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51017,0.0,0.0,0.0,0.0,0.0,0.0,515.0,8.514285714285714,0.003883495145631,0.0019417475728155,0.003883495145631,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51021,29.0,8.517241379310345,0.7586206896551724,0.1034482758620689,0.0344827586206896,0.0802420759317311,228.0,8.461538461538462,0.0,0.0,0.0,0.0,1,23.0,73.3913043478261,16.26086956521739,1.0,18622.17391304348,2250.086956521739
PRV51023,9.0,8.0,0.5555555555555556,0.0,0.0,0.0630952380952381,27.0,9.333333333333334,0.0,0.037037037037037,0.0,0.0,0,9.0,74.33333333333333,17.0,1.0,12580.0,1905.111111111111
PRV51024,9.0,7.111111111111111,0.7777777777777778,0.1111111111111111,0.0,0.1000481000481,30.0,3.0,0.0,0.0,0.0,0.0,0,9.0,70.22222222222223,16.333333333333332,1.0,12632.222222222223,2327.3333333333335
PRV51025,13.0,7.769230769230769,0.9230769230769232,0.0,0.0,0.1066239316239316,74.0,7.285714285714286,0.0,0.0135135135135135,0.0,0.0,0,12.0,70.66666666666667,17.416666666666668,1.0,10580.0,1780.8333333333333
PRV51026,0.0,0.0,0.0,0.0,0.0,0.0,76.0,6.857142857142857,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51027,0.0,0.0,0.0,0.0,0.0,0.0,53.0,6.5,0.0,0.0188679245283018,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51029,0.0,0.0,0.0,0.0,0.0,0.0,93.0,8.375,0.0,0.010752688172043,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51030,82.0,8.097560975609756,0.6951219512195121,0.0975609756097561,0.0121951219512195,0.0825146059902157,89.0,8.666666666666666,0.0,0.0,0.0,0.0,0,71.0,72.83098591549296,16.887323943661972,1.0,13288.30985915493,1912.6760563380283
PRV51031,28.0,8.392857142857142,0.8928571428571429,0.2142857142857142,0.0,0.0989448051948052,157.0,8.153846153846153,0.0,0.0127388535031847,0.0,0.0,0,26.0,73.34615384615384,16.692307692307693,1.0,16705.384615384617,2095.6923076923076
PRV51032,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51035,1.0,9.0,1.0,0.0,0.0,0.1,29.0,7.25,0.0,0.0,0.0,0.0,0,1.0,88.0,14.0,1.0,33890.0,3108.0
PRV51036,0.0,0.0,0.0,0.0,0.0,0.0,278.0,8.571428571428571,0.0,0.014388489208633,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
PRV51037,23.0,8.043478260869565,0.5652173913043478,0.1304347826086956,0.0434782608695652,0.0771064684108162,431.0,8.655172413793103,0.0,0.0069605568445475,0.0,0.0,1,21.0,72.33333333333333,16.0,1.0,13726.190476190477,2135.4285714285716
