Provider,In_TotalClaims,In_AvgDiagnosisCount,In_AvgProcedureCount,In_PctFullDiagnosis,In_PctHighProcedure,In_AvgProcDiagRatio,Out_TotalClaims,Out_AvgDiagnosisCount,Out_AvgProcedureCount,Out_PctFullDiagnosis,Out_PctHasProcedure,Out_AvgProcDiagRatio,PotentialFraud
PRV51001,5.0,7.2,0.6,0.0,0.0,0.06857142857142857,20.0,9.0,0.0,0.0,0.0,0.0,0
PRV51003,62.0,8.112903225806452,0.7741935483870968,0.06451612903225806,0.0,0.09394113950565564,70.0,8.444444444444445,0.0,0.014285714285714285,0.0,0.0,1
PRV51004,0.0,0.0,0.0,0.0,0.0,0.0,149.0,7.333333333333333,0.0,0.006711409395973154,0.0,0.0,0
PRV51005,0.0,0.0,0.0,0.0,0.0,0.0,1165.0,8.060975609756097,0.0,0.007725321888412017,0.0,0.0,1
PRV51007,3.0,7.333333333333333,0.3333333333333333,0.0,0.0,0.041666666666666664,69.0,9.5,0.0,0.028985507246376812,0.0,0.0,0
PRV51008,2.0,7.5,1.0,0.0,0.0,0.12142857142857143,41.0,9.5,0.0,0.024390243902439025,0.0,0.0,0
PRV51011,1.0,8.0,0.0,0.0,0.0,0.0,57.0,9.0,0.0,0.0,0.0,0.0,0
PRV51012,0.0,0.0,0.0,0.0,0.0,0.0,48.0,6.0,0.0,0.0,0.0,0.0,0
PRV51013,0.0,0.0,0.0,0.0,0.0,0.0,46.0,9.0,0.0,0.0,0.0,0.0,0
PRV51014,0.0,0.0,0.0,0.0,0.0,0.0,30.0,8.333333333333334,0.0,0.03333333333333333,0.0,0.0,0
PRV51015,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0
PRV51016,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,0
PRV51017,0.0,0.0,0.0,0.0,0.0,0.0,515.0,8.514285714285714,0.003883495145631068,0.001941747572815534,0.003883495145631068,0.0,0
PRV51021,29.0,8.517241379310345,0.7586206896551724,0.10344827586206896,0.034482758620689655,0.0802420759317311,228.0,8.461538461538462,0.0,0.0,0.0,0.0,1
PRV51023,9.0,8.0,0.5555555555555556,0.0,0.0,0.0630952380952381,27.0,9.333333333333334,0.0,0.037037037037037035,0.0,0.0,0
PRV51024,9.0,7.111111111111111,0.7777777777777778,0.1111111111111111,0.0,0.10004810004810005,30.0,3.0,0.0,0.0,0.0,0.0,0
PRV51025,13.0,7.769230769230769,0.9230769230769231,0.0,0.0,0.10662393162393162,74.0,7.285714285714286,0.0,0.013513513513513514,0.0,0.0,0
PRV51026,0.0,0.0,0.0,0.0,0.0,0.0,76.0,6.857142857142857,0.0,0.0,0.0,0.0,0
PRV51027,0.0,0.0,0.0,0.0,0.0,0.0,53.0,6.5,0.0,0.018867924528301886,0.0,0.0,0
PRV51029,0.0,0.0,0.0,0.0,0.0,0.0,93.0,8.375,0.0,0.010752688172043012,0.0,0.0,0
PRV51030,82.0,8.097560975609756,0.6951219512195121,0.0975609756097561,0.012195121951219513,0.08251460599021575,89.0,8.666666666666666,0.0,0.0,0.0,0.0,0
PRV51031,28.0,8.392857142857142,0.8928571428571429,0.21428571428571427,0.0,0.0989448051948052,157.0,8.153846153846153,0.0,0.012738853503184714,0.0,0.0,0
PRV51032,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0
PRV51035,1.0,9.0,1.0,0.0,0.0,0.1,29.0,7.25,0.0,0.0,0.0,0.0,0
PRV51036,0.0,0.0,0.0,0.0,0.0,0.0,278.0,8.571428571428571,0.0,0.014388489208633094,0.0,0.0,0
PRV51037,23.0,8.043478260869565,0.5652173913043478,0.13043478260869565,0.043478260869565216,0.07710646841081624,431.0,8.655172413793103,0.0,0.0069605568445475635,0.0,0.0,1
PRV51038,30.0,7.3,0.5,0.13333333333333333,0.03333333333333333,0.06813732563732564,111.0,8.071428571428571,0.0,0.018018018018018018,0.0,0.0,0
PRV51040,9.0,7.777777777777778,0.7777777777777778,0.0,0.0,0.10308641975308643,77.0,7.0,0.0,0.0,0.0,0.0,0
PRV51041,0.0,0.0,0.0,0.0,0.0,0.0,34.0,7.666666666666667,0.0,0.0,0.0,0.0,0
PRV51042,0.0,0.0,0.0,0.0,0.0,0.0,142.0,7.9,0.0,0.014084507042253521,0.0,0.0,0
PRV51043,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0
PRV51044,0.0,0.0,0.0,0.0,0.0,0.0,59.0,6.8,0.0,0.0,0.0,0.0,0
PRV51045,0.0,0.0,0.0,0.0,0.0,0.0,31.0,9.0,0.0,0.03225806451612903,0.0,0.0,0
PRV51046,8.0,8.0,0.625,0.0,0.0,0.065625,30.0,9.5,0.0,0.03333333333333333,0.0,0.0,0
PRV51047,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,0.0,0.0,0.0,0.0,0
PRV51048,4.0,8.5,0.75,0.25,0.0,0.08344155844155844,34.0,9.4,0.0,0.08823529411764706,0.0,0.0,0
PRV51049,0.0,0.0,0.0,0.0,0.0,0.0,71.0,8.75,0.0,0.014084507042253521,0.0,0.0,0
PRV51052,2.0,8.5,0.5,0.0,0.0,0.05,44.0,8.0,0.0,0.022727272727272728,0.0,0.0,1
PRV51053,1.0,9.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0
PRV51054,0.0,0.0,0.0,0.0,0.0,0.0,57.0,8.333333333333334,0.0,0.017543859649122806,0.0,0.0,0
PRV51055,2.0,9.0,1.0,0.0,0.0,0.1,20.0,8.0,0.0,0.0,0.0,0.0,0
PRV51056,2.0,7.5,1.0,0.0,0.0,0.1,20.0,0.0,0.0,0.0,0.0,0.0,0
PRV51057,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0
PRV51058,5.0,8.4,1.0,0.4,0.0,0.11636363636363636,78.0,9.0,0.0,0.0,0.0,0.0,0
PRV51059,25.0,8.88,0.96,0.2,0.08,0.09954545454545455,71.0,8.25,0.0,0.014084507042253521,0.0,0.0,1
PRV51060,5.0,8.4,0.0,0.0,0.0,0.0,37.0,7.6,0.0,0.02702702702702703,0.0,0.0,0
